Month,Inflation
2019-01,0.34
2019-02,-0.18
2019-03,0.16
2019-04,0.41
2019-05,0.29
2019-06,0.13
2019-07,0.16
2019-08,0.12
2019-09,-0.07
2019-10,-0.07
2019-11,-0.07
2019-12,0.53
2020-01,0.5
2020-02,0.31
2020-03,-0.01
2020-04,-0.12
2020-05,0.18
2020-06,0.28
2020-07,-0.29
2020-08,0.04
2020-09,-0.15
2020-10,-0.02
2020-11,0.26
2020-12,0.46
2021-01,0.32
2021-02,0.22
2021-03,0.11
2021-04,0.1
2021-05,0.27
2021-06,0.14
2021-07,0.17
2021-08,0.26
2021-09,-0.11
2021-10,0.18
2021-11,0.35
2021-12,0.69
2022-01,0.46
2022-02,0.05
2022-03,0.71
2022-04,1.05
