Bulan,Inflasi
Januari 2019,0.34
Februari 2019,-0.18
Maret 2019,0.16
April 2019,0.41
Mei 2019,0.29
Juni 2019,0.13
Juli 2019,0.16
Agustus 2019,0.12
September 2019,-0.07
Oktober 2019,-0.07
November 2019,-0.07
Desember 2019,0.53
Januari 2020,0.50
Februari 2020,0.31
Maret 2020,-0.01
April 2020,-0.12
Mei 2020,0.18
Juni 2020,0.28
Juli 2020,-0.29
Agustus 2020,0.04
September 2020,-0.15
Oktober 2020,-0.02
November 2020,0.26
Desember 2020,0.46
Januari 2021,0.32
Februari 2021,0.22
Maret 2021,0.11
April 2021,0.10
Mei 2021,0.27
Juni 2021,0.14
Juli 2021,0.17
Agustus 2021,0.26
September 2021,-0.11
Oktober 2021,0.18
November 2021,0.35
Desember 2021,0.69
Januari 2022,0.46
Februari 2022,0.05
Maret 2022,0.71
April 2022,1.05
