Bulan,pdrb
2012-03,270967.33
2012-06,279371.71
2012-09,289331.95
2012-12,284793.65
2013-03,287715.22
2013-06,296609.91
2013-09,306748.09
2013-12,301768.64
2014-03,301663.43
2014-06,314302.79
2014-09,326248
2014-12,317346.07
2015-03,317709.74
2015-06,331445.89
2015-09,343786.05
2015-12,335866.73
2016-03,338293.8
2016-06,350329.9
2016-09,362552
2016-12,354387.8
2017-03,356467.49
2017-06,368033.67
2017-09,382998.22
2017-12,374800.21
2018-03,375751.01
2018-06,388501.85
2018-09,403655.83
2018-12,395533.14
2019-03,396801.77
2019-06,411018.9
2019-09,425191.75
2019-12,416883.22
2020-03,408297.6
2020-06,386917.3
2020-09,410456.92
2020-12,405835.97
2021-03,406510.14
2021-06,414269.72
2021-09,423872.36
2021-12,424464.67
2022-03,427653.76
